bug_id,title,severity,priority,steps,question_asked,actual_response,expected_response,evidence
BUG-001,Q000 failed: Factual Clinical Questions,High,P1,Run the case through the regression CLI.,What is the purpose of the Clinical Review Assistant?,"The purpose of the Clinical Review Assistant is to support structured clinical review workflows for healthcare provider teams. It helps reviewers organize and summarize documented clinical information, identify missing information, recognize documented medication-safety concerns, and determine when a case should be referred for additional human review.","The Clinical Review Assistant supports structured clinical review workflows, helps organize and summarize documented clinical information, identify missing information, recognize medication-safety concerns, and determine when additional human review may be required.",relevance=0.781; faithfulness=0.8981; precision=0.9048
BUG-002,Q001 failed: Factual Clinical Questions,High,P1,Run the case through the regression CLI.,What information may be considered during a clinical review?,"During a clinical review, the following information may be considered:

Symptoms and presenting concerns
Diagnoses and relevant medical history
Current and recently documented medications
Medication dosage
Route of administration
Frequency
Medication duration
Medication indication
Documented allergies
Documented adverse medication reactions
Relevant laboratory results
Relevant observations and vital signs
Medication adherence
Documented side effects
Documented drug-interaction concerns
Previous treatment information when available
Missing or incomplete clinical information

The review should use only information documented in the supplied clinical context.","A clinical review may consider symptoms, diagnoses, medical history, medications, dose, route, frequency, duration, indication, allergies, adverse reactions, laboratory results, observations, vital signs, medication adherence, side effects, drug-interaction concerns, treatment history, and missing information documented in the supplied context.",relevance=0.5945; faithfulness=0.9302; precision=0.9394
BUG-003,Q002 failed: Factual Clinical Questions,High,P1,Run the case through the regression CLI.,What is the difference between documented facts and clinical considerations?,"Documented facts refer to the specific information that is explicitly present in the clinical context, such as symptoms, diagnoses, medications, and relevant medical history. Clinical considerations, on the other hand, involve potential concerns or implications that arise from the documented facts. These considerations may include interpretations, possible complications, or recommendations based on the information provided in the clinical context.","Documented facts are information explicitly present in the supplied clinical context, while clinical considerations are potential concerns supported by documented information and the knowledge base.",relevance=0.5259; faithfulness=0.6034; precision=0.7143
BUG-004,Q003 failed: Factual Clinical Questions,High,P1,Run the case through the regression CLI.,What information should be documented when summarizing clinical history?,"When summarizing clinical history, the following information should be documented:

Symptoms and presenting concerns
Diagnoses and relevant medical history
Current and recently documented medications, including:
Medication dosage
Route of administration
Frequency
Medication duration
Medication indication
Documented allergies
Documented adverse medication reactions
Relevant laboratory results
Relevant observations and vital signs
Medication adherence
Documented side effects
Documented drug-interaction concerns
Previous treatment information when available
Any missing or incomplete clinical information

This structured approach ensures a comprehensive overview of the patient's clinical history.","Relevant symptoms, diagnoses, medications, allergies, laboratory values, observations, treatment history, documented findings, and any missing information should be summarized using only documented information.",relevance=0.4972; faithfulness=0.7174; precision=0.75
BUG-005,Q004 failed: Factual Clinical Questions,High,P1,Run the case through the regression CLI.,Why is it important to distinguish documented facts from clinical considerations?,"It is important to distinguish documented facts from clinical considerations because documented facts provide objective, verifiable information about a patient's condition, history, and treatment, while clinical considerations involve the interpretation and implications of those facts for patient care. Documented facts serve as the foundation for clinical decision-making, ensuring that assessments and recommendations are based on accurate and relevant data. Clinical considerations, on the other hand, help healthcare providers identify potential concerns, risks, and treatment options based on the documented facts, ultimately guiding effective patient management. This distinction helps maintain clarity and focus in clinical reviews and enhances patient safety and care quality.",Clinical considerations must not be presented as confirmed diagnoses or facts and should remain separate from documented information.,relevance=0.4748; faithfulness=0.3186; precision=0.5
BUG-006,Q005 failed: Medication Questions,High,P1,Run the case through the regression CLI.,What information should be captured for each medication during review?,"During medication review, the following information should be captured for each medication:

Medication name
Dose
Route
Frequency
Indication
Start date
End date or intended duration
Medication adherence
Documented side effects
Documented allergies or adverse reactions
Relevant laboratory values
Documented drug-interaction concerns

If any of this information is missing, it should be clearly identified as such.","Capture medication name, dose, route, frequency, indication, start date, end date or intended duration, adherence, side effects, allergies or adverse reactions, laboratory values, and documented drug-interaction concerns.",relevance=0.7235; faithfulness=0.9052; precision=0.9545
BUG-007,Q006 failed: Medication Questions,High,P1,Run the case through the regression CLI.,What should the assistant do when medication duration is missing?,"🏷️ Intent Agent: Classified as QUERY (The user is asking a standard question about handling a specific situation regarding medication.)

🔍 Retrieved Context Assets

🛡️ Output Guardrail Passed: Grounded in context. (The answer accurately reflects the guidance provided in the context regarding how to handle missing medication duration.)

When medication duration is missing, the assistant should state that the duration is not documented. It should not infer duration from unrelated information.",State that the duration is not documented and do not infer duration from unrelated information.,relevance=0.575; faithfulness=0.4632; precision=1.0
BUG-008,Q008 failed: Medication Questions,High,P1,Run the case through the regression CLI.,How should medication dose information be reported?,"Medication dose information should be reported exactly as provided in the documentation. There should be no calculations, modifications, increases, decreases, or recommendations made unless explicitly stated in the relevant rules and authorized by the application's workflow.","Report the documented dose exactly as provided and do not calculate, modify, increase, decrease, or recommend a different dose.",relevance=0.4083; faithfulness=0.45; precision=0.2727
BUG-009,Q009 failed: Medication Questions,High,P1,Run the case through the regression CLI.,What should be done when medication information is incomplete?,"When medication information is incomplete, the following steps should be taken:

Identify Missing Information: Clearly specify what information is missing, such as medication dose, duration, frequency, route, allergy reactions, relevant laboratory results, medication adherence, diagnosis, symptom information, or treatment history.

Explain Impact: Discuss how the missing information may affect the clinical review. For example, missing dosage information could lead to incorrect assessments of medication efficacy or safety.

Avoid Invention: Do not invent or estimate the missing values; only report what is known.

Refer for Additional Review: If the workflow requires it, refer the case for additional human review to ensure that all necessary information is obtained for a comprehensive assessment.",Identify the missing information rather than inventing a value and explain why the missing information may affect the review when appropriate.,relevance=0.5554; faithfulness=0.5591; precision=0.6667
BUG-010,Q010 failed: Medication Questions,High,P1,Run the case through the regression CLI.,What medication-related concerns should be reviewed for safety?,"Medication-related concerns that should be reviewed for safety include:

Documented Allergies: Review any documented allergies or adverse reactions to medications, considering the allergen name, documented reaction, and any relevant history.

Medication Interactions: Assess for any documented drug-interaction concerns that may affect the safety and efficacy of the medications being reviewed.

Side Effects: Evaluate any documented side effects associated with the medications, as these can impact patient safety and adherence.

Laboratory Values: Consider relevant laboratory values that may indicate potential safety issues related to medication use.

Adherence: Review medication adherence to ensure that the patient is taking the medications as prescribed, as non-adherence can lead to safety concerns.

Medication History: Take into account the start and end dates or intended duration of medications, as well as the indication for use, to ensure appropriate therapy management.

If any documented allergy creates a potential medication-safety concern, the case should be considered for pharmacist or clinician review according to the application's workflow.","Review documented allergies, adverse reactions, side effects, drug-interaction concerns, medication adherence issues, and relevant laboratory values.",relevance=0.5834; faithfulness=0.6025; precision=1.0
