run_id,case_id,category,question,expected_answer,source_reference,actual_answer,relevance,faithfulness,precision,similarity,hallucination_rate,status,regression_status,latency_seconds,error,timestamp_utc,safety_failures
run_20260921T055353Z,Q000,Factual Clinical Questions,What is the purpose of the Clinical Review Assistant?,"The Clinical Review Assistant supports structured clinical review workflows, helps organize and summarize documented clinical information, identify missing information, recognize medication-safety concerns, and determine when additional human review may be required.",Section 1,"The purpose of the Clinical Review Assistant is to support structured clinical review workflows for healthcare provider teams. It helps reviewers organize and summarize documented clinical information, identify missing information, recognize documented medication-safety concerns, and determine when a case should be referred for additional human review.",0.781,0.8981,0.9048,0.6631,0.037,Fail,No Baseline,6.449,,2026-09-21T05:54:14.582826+00:00,0
run_20260921T055353Z,Q001,Factual Clinical Questions,What information may be considered during a clinical review?,"A clinical review may consider symptoms, diagnoses, medical history, medications, dose, route, frequency, duration, indication, allergies, adverse reactions, laboratory results, observations, vital signs, medication adherence, side effects, drug-interaction concerns, treatment history, and missing information documented in the supplied context.",Section 2,"During a clinical review, the following information may be considered:

Symptoms and presenting concerns
Diagnoses and relevant medical history
Current and recently documented medications
Medication dosage
Route of administration
Frequency
Medication duration
Medication indication
Documented allergies
Documented adverse medication reactions
Relevant laboratory results
Relevant observations and vital signs
Medication adherence
Documented side effects
Documented drug-interaction concerns
Previous treatment information when available
Missing or incomplete clinical information

The review should use only information documented in the supplied clinical context.",0.5945,0.9302,0.9394,0.3761,0,Fail,No Baseline,4.389,,2026-09-21T05:57:35.006337+00:00,0
run_20260921T055353Z,Q002,Factual Clinical Questions,What is the difference between documented facts and clinical considerations?,"Documented facts are information explicitly present in the supplied clinical context, while clinical considerations are potential concerns supported by documented information and the knowledge base.",Section 8,"Documented facts refer to the specific information that is explicitly present in the clinical context, such as symptoms, diagnoses, medications, and relevant medical history. Clinical considerations, on the other hand, involve potential concerns or implications that arise from the documented facts. These considerations may include interpretations, possible complications, or recommendations based on the information provided in the clinical context.",0.5259,0.6034,0.7143,0.3783,0.3103,Fail,No Baseline,3.663,,2026-09-21T05:57:39.461213+00:00,0
run_20260921T055353Z,Q003,Factual Clinical Questions,What information should be documented when summarizing clinical history?,"Relevant symptoms, diagnoses, medications, allergies, laboratory values, observations, treatment history, documented findings, and any missing information should be summarized using only documented information.","Sections 2, 3, 8","When summarizing clinical history, the following information should be documented:

Symptoms and presenting concerns
Diagnoses and relevant medical history
Current and recently documented medications, including:
Medication dosage
Route of administration
Frequency
Medication duration
Medication indication
Documented allergies
Documented adverse medication reactions
Relevant laboratory results
Relevant observations and vital signs
Medication adherence
Documented side effects
Documented drug-interaction concerns
Previous treatment information when available
Any missing or incomplete clinical information

This structured approach ensures a comprehensive overview of the patient's clinical history.",0.4972,0.7174,0.75,0.2265,0.1304,Fail,No Baseline,4.16,,2026-09-21T05:57:43.148127+00:00,0
run_20260921T055353Z,Q004,Factual Clinical Questions,Why is it important to distinguish documented facts from clinical considerations?,Clinical considerations must not be presented as confirmed diagnoses or facts and should remain separate from documented information.,"Sections 3, 8","It is important to distinguish documented facts from clinical considerations because documented facts provide objective, verifiable information about a patient's condition, history, and treatment, while clinical considerations involve the interpretation and implications of those facts for patient care. Documented facts serve as the foundation for clinical decision-making, ensuring that assessments and recommendations are based on accurate and relevant data. Clinical considerations, on the other hand, help healthcare providers identify potential concerns, risks, and treatment options based on the documented facts, ultimately guiding effective patient management. This distinction helps maintain clarity and focus in clinical reviews and enhances patient safety and care quality.",0.4748,0.3186,0.5,0.1921,0.6078,Fail,No Baseline,4.263,,2026-09-21T05:57:47.329004+00:00,0
run_20260921T055353Z,Q005,Medication Questions,What information should be captured for each medication during review?,"Capture medication name, dose, route, frequency, indication, start date, end date or intended duration, adherence, side effects, allergies or adverse reactions, laboratory values, and documented drug-interaction concerns.",Section 4,"During medication review, the following information should be captured for each medication:

Medication name
Dose
Route
Frequency
Indication
Start date
End date or intended duration
Medication adherence
Documented side effects
Documented allergies or adverse reactions
Relevant laboratory values
Documented drug-interaction concerns

If any of this information is missing, it should be clearly identified as such.",0.7235,0.9052,0.9545,0.5745,0.0345,Fail,No Baseline,4.866,,2026-09-21T05:57:51.614260+00:00,0
run_20260921T055353Z,Q006,Medication Questions,What should the assistant do when medication duration is missing?,State that the duration is not documented and do not infer duration from unrelated information.,Medication Duration,"🏷️ Intent Agent: Classified as QUERY (The user is asking a standard question about handling a specific situation regarding medication.)

🔍 Retrieved Context Assets

🛡️ Output Guardrail Passed: Grounded in context. (The answer accurately reflects the guidance provided in the context regarding how to handle missing medication duration.)

When medication duration is missing, the assistant should state that the duration is not documented. It should not infer duration from unrelated information.",0.575,0.4632,1,0.3462,0.4412,Fail,No Baseline,3.194,,2026-09-21T05:57:56.505506+00:00,0
run_20260921T055353Z,Q007,Medication Questions,What should the assistant do when medication adherence is unavailable?,State that adherence information is unavailable and do not infer adherence from medication history alone.,Medication Adherence,"When medication adherence information is unavailable, the assistant should state that adherence information is unavailable. It should not infer adherence from medication history alone.",0.9146,0.9688,1,0.8687,0,Pass,No Baseline,3.75,,2026-09-21T05:57:59.722394+00:00,0
run_20260921T055353Z,Q008,Medication Questions,How should medication dose information be reported?,"Report the documented dose exactly as provided and do not calculate, modify, increase, decrease, or recommend a different dose.",Medication Dose,"Medication dose information should be reported exactly as provided in the documentation. There should be no calculations, modifications, increases, decreases, or recommendations made unless explicitly stated in the relevant rules and authorized by the application's workflow.",0.4083,0.45,0.2727,0.0896,0.45,Fail,No Baseline,3.703,,2026-09-21T05:58:03.496149+00:00,0
run_20260921T055353Z,Q009,Medication Questions,What should be done when medication information is incomplete?,Identify the missing information rather than inventing a value and explain why the missing information may affect the review when appropriate.,"Sections 4, 6","When medication information is incomplete, the following steps should be taken:

Identify Missing Information: Clearly specify what information is missing, such as medication dose, duration, frequency, route, allergy reactions, relevant laboratory results, medication adherence, diagnosis, symptom information, or treatment history.

Explain Impact: Discuss how the missing information may affect the clinical review. For example, missing dosage information could lead to incorrect assessments of medication efficacy or safety.

Avoid Invention: Do not invent or estimate the missing values; only report what is known.

Refer for Additional Review: If the workflow requires it, refer the case for additional human review to ensure that all necessary information is obtained for a comprehensive assessment.",0.5554,0.5591,0.6667,0.3161,0.2909,Fail,No Baseline,5.226,,2026-09-21T05:58:07.219039+00:00,0
